study_m,Month,obd,phase,int_carb_asp,int_targ_screen,int_screen_all,int_hand,int_asp,bedocc,hh_adherence,hh_trained,abhr,rectalswab,all_monitor_abx,cephalosporins_DDD,carbapenems,aps_cephalosporins,fluoroquinolones,all_gn_bsi,ecoli_ccs_bsi,ecoli_3gcr_bsi,cre_bsi,mssa_bsi,mrsa_bsi,gram_neg_bsi,csab_all_any,crab_all_any,cskp_all_any,crkp_all_any,cspa_all_any,crpa_all_any,csab_all_clinical,crab_all_clinical,cskp_all_clinical,crkp_all_clinical,cspa_all_clinical,crpa_all_clinical,csab_all_bsi,crab_all_bsi,cskp_all_bsi,crkp_all_bsi,cspa_all_bsi,crpa_all_bsi,csab_all_resp,crab_all_resp,cskp_all_resp,crkp_all_resp,cspa_all_resp,crpa_all_resp,csab_all_uti,crab_all_uti,cskp_all_uti,crkp_all_uti,cspa_all_uti,crpa_all_uti,csab_all_other,crab_all_other,cskp_all_other,crkp_all_other,cspa_all_other,crpa_all_other,csab_all_swab,crab_all_swab,cskp_all_swab,crkp_all_swab,cspa_all_swab,crpa_all_swab,csab_adm_swab,crab_adm_swab,cskp_adm_swab,crkp_adm_swab,cspa_adm_swab,crpa_adm_swab,csab_ho_any,crab_ho_any,cskp_ho_any,crkp_ho_any,cspa_ho_any,crpa_ho_any,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_co_nothca_any,crab_co_nothca_any,cskp_co_nothca_any,crkp_co_nothca_any,cspa_co_nothca_any,crpa_co_nothca_any,csab_co_nothca_clinical,crab_co_nothca_clinical,cskp_co_nothca_clinical,crkp_co_nothca_clinical,cspa_co_nothca_clinical,crpa_co_nothca_clinical,csab_co_nothca_bsi,crab_co_nothca_bsi,cskp_co_nothca_bsi,crkp_co_nothca_bsi,cspa_co_nothca_bsi,crpa_co_nothca_bsi,csab_co_nothca_resp,crab_co_nothca_resp,cskp_co_nothca_resp,crkp_co_nothca_resp,cspa_co_nothca_resp,crpa_co_nothca_resp,csab_co_nothca_uti,crab_co_nothca_uti,cskp_co_nothca_uti,crkp_co_nothca_uti,cspa_co_nothca_uti,crpa_co_nothca_uti,csab_co_nothca_other,crab_co_nothca_other,cskp_co_nothca_other,crkp_co_nothca_other,cspa_co_nothca_other,crpa_co_nothca_other,csab_co_nothca_adm_swab,crab_co_nothca_adm_swab,cskp_co_nothca_adm_swab,crkp_co_nothca_adm_swab,cspa_co_nothca_adm_swab,crpa_co_nothca_adm_swab,csab_hca_all,crab_hca_all,cskp_hca_all,crkp_hca_all,cspa_hca_all,crpa_hca_all,csab_hca_clinical,crab_hca_clinical,cskp_hca_clinical,crkp_hca_clinical,cspa_hca_clinical,crpa_hca_clinical,csab_hca_bsi,crab_hca_bsi,cskp_hca_bsi,crkp_hca_bsi,cspa_hca_bsi,crpa_hca_bsi,csab_hca_resp,crab_hca_resp,cskp_hca_resp,crkp_hca_resp,cspa_hca_resp,crpa_hca_resp,csab_hca_uti,crab_hca_uti,cskp_hca_uti,crkp_hca_uti,cspa_hca_uti,crpa_hca_uti,csab_hca_other,crab_hca_other,cskp_hca_other,crkp_hca_other,cspa_hca_other,crpa_hca_other,csab_hca_swab,crab_hca_swab,cskp_hca_swab,crkp_hca_swab,cspa_hca_swab,crpa_hca_swab,csab_co_hca_any,crab_co_hca_any,cskp_co_hca_any,crkp_co_hca_any,cspa_co_hca_any,crpa_co_hca_any,csab_co_hca_clinical,crab_co_hca_clinical,cskp_co_hca_clinical,crkp_co_hca_clinical,cspa_co_hca_clinical,crpa_co_hca_clinical,csab_co_hca_bsi,crab_co_hca_bsi,cskp_co_hca_bsi,crkp_co_hca_bsi,cspa_co_hca_bsi,crpa_co_hca_bsi,csab_co_hca_resp,crab_co_hca_resp,cskp_co_hca_resp,crkp_co_hca_resp,cspa_co_hca_resp,crpa_co_hca_resp,csab_co_hca_uti,crab_co_hca_uti,cskp_co_hca_uti,crkp_co_hca_uti,cspa_co_hca_uti,crpa_co_hca_uti,csab_co_hca_other,crab_co_hca_other,cskp_co_hca_other,crkp_co_hca_other,cspa_co_hca_other,crpa_co_hca_other,csab_co_hca_adm_swab,crab_co_hca_adm_swab,cskp_co_hca_adm_swab,crkp_co_hca_adm_swab,cspa_co_hca_adm_swab,crpa_co_hca_adm_swab
34,Oct-10,18416,1,F,F,F,F,F,85.3,NA,NA,233,0,14160,1491,917,246,3294,25.99999999,7,4,0,2,4,28,0,18,34,0,31,7,0,16,33,0,30,6,0,1,4,0,0,2,0,5,4,0,10,2,0,5,13,0,7,2,0,5,12,0,13,0,0,2,1,0,1,1,0,0,0,0,0,0,0,15,18,0,19,6,0,13,17,0,18,5,0,1,2,0,0,2,0,3,4,0,5,2,0,5,5,0,5,1,0,4,6,0,8,0,0,2,1,0,1,1,0,0,11,0,6,0,0,0,11,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,18,23,0,25,7,0,16,22,0,24,6,0,1,3,0,0,2,0,5,4,0,8,2,0,5,8,0,6,2,0,5,7,0,10,0,0,2,1,0,1,1,0,3,5,0,6,1,0,3,5,0,6,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,3,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0
35,Nov-10,19144,1,F,F,F,F,F,88.7,NA,NA,186,0,15294,1573,872,229,3616,38.99999999,7,8,0,1,2,35,6,10,33,2,28,10,5,9,30,2,28,9,0,1,6,0,1,0,2,3,5,0,9,1,0,3,13,1,6,4,3,2,6,1,12,4,1,1,3,0,0,1,1,1,2,0,0,1,3,9,22,2,12,6,3,9,21,2,12,6,0,1,5,0,0,0,1,3,3,0,3,0,0,3,7,1,1,3,2,2,6,1,8,3,0,0,1,0,0,0,2,1,9,0,4,1,1,0,7,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,1,0,0,0,3,0,1,1,2,0,0,0,4,9,24,2,24,9,4,9,23,2,24,8,0,1,5,0,1,0,2,3,4,0,9,1,0,3,8,1,5,3,2,2,6,1,9,4,0,0,1,0,0,1,1,0,2,0,12,3,1,0,2,0,12,2,0,0,0,0,1,0,1,0,1,0,6,1,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1
36,Dec-10,14995,1,F,F,F,F,F,87.2,NA,NA,202,0,12492,1267,640,164,2889,27.99999999,11,1,0,4,0,23,0,11,20,0,22,11,0,10,18,0,21,10,0,0,0,0,2,1,0,6,2,0,4,4,0,1,5,0,8,0,0,3,11,0,7,5,0,1,2,0,1,1,0,0,0,0,0,0,0,10,16,0,18,9,0,9,14,0,17,8,0,0,0,0,1,1,0,6,2,0,4,3,0,1,4,0,7,0,0,2,8,0,5,4,0,1,2,0,1,1,0,1,4,0,2,0,0,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,10,16,0,20,11,0,9,14,0,19,10,0,0,0,0,1,1,0,6,2,0,4,4,0,1,4,0,8,0,0,2,8,0,6,5,0,1,2,0,1,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
37,Jan-11,16964,1,F,F,F,F,F,86.3,NA,NA,169,0,13892,1489,680,232,3370,35,5,3,0,3,2,16,0,11,19,0,20,12,0,11,17,0,18,12,0,1,1,0,1,1,0,5,1,0,6,1,0,2,11,0,5,9,0,3,4,0,6,1,0,0,2,0,2,0,0,0,1,0,1,0,0,10,13,0,14,10,0,10,12,0,13,10,0,1,1,0,1,1,0,5,1,0,3,1,0,2,7,0,3,7,0,2,3,0,6,1,0,0,1,0,1,0,0,1,3,0,5,1,0,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,10,16,0,15,11,0,10,15,0,13,11,0,1,1,0,1,1,0,5,1,0,3,1,0,2,10,0,3,8,0,2,3,0,6,1,0,0,1,0,2,0,0,0,3,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,Feb-11,16963,1,F,F,F,F,F,88.3,NA,NA,215,0,13587,1435,736,301,3336,23,8,1,0,7,1,23,0,8,17,0,35,13,0,8,17,0,34,12,0,4,0,0,2,2,0,2,2,0,8,3,0,1,13,0,6,6,0,1,2,0,18,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,10,0,26,12,0,7,10,0,25,11,0,4,0,0,1,2,0,2,2,0,6,3,0,1,7,0,6,6,0,0,1,0,12,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,14,0,32,13,0,8,14,0,31,12,0,4,0,0,2,2,0,2,2,0,7,3,0,1,10,0,6,6,0,1,2,0,16,1,0,0,0,0,1,1,0,1,4,0,6,1,0,1,4,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0
39,Mar-11,19149,1,F,F,F,F,F,85.5,NA,NA,197,0,15109,1660,831,278,3571,16,11,3,0,3,5,27,1,10,25,1,34,12,1,10,22,1,31,12,0,0,2,0,2,2,1,7,4,0,8,2,0,1,9,0,12,4,0,2,7,1,9,4,0,0,3,0,3,0,0,0,1,0,2,0,1,9,16,0,20,11,1,9,14,0,19,11,0,0,0,0,1,2,1,6,3,0,5,2,0,1,6,0,7,4,0,2,5,0,6,3,0,0,2,0,1,0,0,1,2,0,8,0,0,1,2,0,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,1,9,23,1,26,12,1,9,20,1,25,12,0,0,1,0,2,2,1,6,4,0,7,2,0,1,8,0,8,4,0,2,7,1,8,4,0,0,3,0,1,0,0,0,7,1,6,1,0,0,6,1,6,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,2,1,2,1,0,0,1,0,0,0
40,Apr-11,17893,1,F,F,F,F,F,84,NA,NA,163,0,13903,1488,756,318,3201,23,10,8,0,8,2,34,0,12,23,1,27,16,0,12,23,1,25,16,0,1,4,0,0,2,0,7,5,0,12,5,0,1,9,1,11,6,0,3,5,0,2,3,0,0,0,0,2,0,0,0,0,0,2,0,0,11,16,1,13,11,0,11,16,1,13,11,0,1,2,0,0,2,0,6,5,0,7,3,0,1,5,1,6,3,0,3,4,0,0,3,0,0,0,0,0,0,0,1,4,0,10,2,0,1,4,0,8,2,0,0,1,0,0,0,0,1,0,0,2,2,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,11,19,1,17,14,0,11,19,1,17,14,0,1,3,0,0,2,0,6,5,0,10,3,0,1,6,1,7,6,0,3,5,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,4,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
41,May-11,18962,1,F,F,F,F,F,83,NA,NA,229,0,14580,1496,781,206,3181,26.99999999,14,7,0,6,1,39,0,11,19,4,44,5,0,11,16,4,37,4,0,2,4,0,4,0,0,5,1,1,15,4,0,2,9,3,8,0,0,2,2,0,10,0,0,0,3,0,7,1,0,0,0,0,5,0,0,10,12,1,23,2,0,10,9,1,21,1,0,2,1,0,0,0,0,4,0,1,11,1,0,2,7,0,3,0,0,2,1,0,7,0,0,0,3,0,2,1,0,0,5,3,13,0,0,0,5,3,9,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,3,4,0,0,0,1,0,2,0,0,0,0,0,4,0,0,11,14,1,31,5,0,11,11,1,28,4,0,2,2,0,2,0,0,5,0,1,14,4,0,2,8,0,4,0,0,2,1,0,8,0,0,0,3,0,3,1,0,1,2,0,8,3,0,1,2,0,7,3,0,0,1,0,2,0,0,1,0,0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42,Jun-11,18188,1,F,F,F,F,F,83.5,NA,NA,223,0,13972,1435,809,358,2966,34,13,3,0,3,1,31,1,6,26,3,25,7,1,5,24,3,25,7,1,1,3,0,1,2,0,2,3,0,6,2,0,0,12,2,10,2,0,2,6,1,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,6,16,1,14,5,0,5,14,1,14,5,0,1,2,0,0,2,0,2,2,0,4,1,0,0,7,0,7,2,0,2,3,1,3,0,0,1,2,0,0,0,1,0,7,1,6,0,1,0,7,1,6,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,19,2,19,7,0,5,17,2,19,7,0,1,2,0,1,2,0,2,2,0,4,2,0,0,10,1,9,2,0,2,3,1,5,1,0,1,2,0,0,0,0,0,3,1,5,2,0,0,3,1,5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0
43,Jul-11,16985,1,F,F,F,F,F,84.7,NA,NA,149,0,13080,1355,737,317,2790,39,9,2,0,3,1,28,0,12,27,15,36,14,0,10,26,11,35,13,0,2,2,1,3,2,0,5,5,1,9,2,0,2,15,9,8,6,0,1,4,0,15,3,0,2,1,4,1,1,0,0,0,0,1,1,0,6,15,13,21,10,0,4,14,9,21,10,0,2,1,1,1,2,0,1,4,1,7,2,0,0,7,7,5,5,0,1,2,0,8,1,0,2,1,4,0,0,0,4,5,1,9,1,0,4,5,1,8,1,0,0,0,0,2,0,0,3,1,0,2,0,0,1,3,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,8,22,14,27,13,0,6,21,10,27,12,0,2,2,1,1,2,0,2,4,1,7,2,0,1,12,8,8,6,0,1,3,0,11,2,0,2,1,4,0,1,0,2,7,1,6,3,0,2,7,1,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,1,3,1,0,0,1,0,3,1,0,0,0,0,0,1
44,Aug-11,14220,1,F,F,F,F,F,84,NA,NA,151,0,10934,1106,695,267,2418,30.99999999,8,5,0,4,1,31,2,14,27,17,30,15,2,11,23,11,29,11,0,0,2,2,2,2,0,8,4,0,6,2,1,1,12,5,9,6,1,2,5,4,12,1,0,3,4,6,1,4,0,1,2,0,1,0,2,11,18,14,22,10,2,9,16,8,22,6,0,0,2,2,2,0,0,7,4,0,3,2,1,0,7,3,7,3,1,2,3,3,10,1,0,2,2,6,0,4,0,2,1,1,3,2,0,1,1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,2,12,26,16,27,13,2,10,22,10,27,9,0,0,2,2,2,2,0,7,4,0,5,2,1,1,11,5,9,4,1,2,5,3,11,1,0,2,4,6,0,4,0,1,8,2,5,3,0,1,6,2,5,3,0,0,0,0,0,2,0,0,0,0,2,0,0,1,4,2,2,1,0,0,2,0,1,0,0,0,2,0,0,0
45,Sep-11,16120,1,F,F,F,F,F,86.2,NA,NA,216,180,12198,1179,735,304,3024,28,12,5,0,5,2,35,1,12,41,18,28,16,0,10,37,11,25,13,0,1,9,1,1,1,0,5,4,1,7,3,0,4,16,8,6,9,0,0,8,1,11,0,1,2,4,7,3,3,0,0,1,0,0,1,1,11,23,16,17,11,0,9,20,9,14,9,0,1,3,1,0,1,0,5,2,1,5,2,0,3,12,6,4,6,0,0,3,1,5,0,1,2,3,7,3,2,0,0,13,1,7,0,0,0,13,1,7,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,3,1,1,0,0,0,5,0,4,0,0,0,0,0,0,0,1,12,28,17,21,16,0,10,24,10,18,13,0,1,5,1,1,1,0,5,3,1,5,3,0,4,13,7,5,9,0,0,3,1,7,0,1,2,4,7,3,3,0,1,5,1,4,5,0,1,4,1,4,4,0,0,2,0,1,0,0,0,1,0,0,1,0,1,1,1,1,3,0,0,0,0,2,0,0,0,1,0,0,1
46,Oct-11,18317,1,F,F,F,F,F,88.3,NA,NA,206,200,14450,1289,912,362,3276,30.99999999,10,3,0,4,2,29,8,10,26,12,35,10,6,9,25,7,34,9,1,2,3,2,0,0,0,2,6,1,9,3,1,4,9,3,8,3,4,1,7,1,17,3,2,1,1,5,1,1,0,0,1,0,0,1,7,8,14,11,19,4,5,7,14,6,18,4,1,2,2,1,0,0,0,2,3,1,5,1,0,2,5,3,4,2,4,1,4,1,9,1,2,1,0,5,1,0,0,0,6,0,11,1,0,0,5,0,11,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,3,0,0,0,3,0,5,0,0,0,1,0,0,0,8,10,20,12,24,9,6,9,20,7,23,8,1,2,3,2,0,0,0,2,5,1,6,2,1,4,8,3,5,3,4,1,4,1,12,3,2,1,0,5,1,1,1,2,6,1,5,5,1,2,6,1,5,4,0,0,1,1,0,0,0,0,2,0,1,1,1,2,3,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1
47,Nov-11,18637,1,F,F,F,F,F,89.7,NA,3.33,195,180,14911,1284,933,374,3360,35,8,2,0,6,1,27,1,9,23,22,24,10,1,8,22,13,23,7,0,2,3,1,0,0,0,5,5,0,9,0,0,0,10,11,7,1,1,1,4,1,7,6,0,1,1,9,1,3,0,0,0,3,0,0,1,7,11,14,16,9,1,6,10,8,15,6,0,2,0,0,0,0,0,3,3,0,7,0,0,0,4,8,4,0,1,1,3,0,4,6,0,1,1,6,1,3,0,1,6,4,6,0,0,1,6,2,6,0,0,0,2,1,0,0,0,1,1,0,2,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,8,17,18,18,10,1,7,16,11,17,7,0,2,1,0,0,0,0,4,4,0,7,0,0,0,7,10,5,1,1,1,4,1,5,6,0,1,1,7,1,3,0,1,6,4,2,1,0,1,6,3,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0
48,Dec-11,19143,1,F,F,F,F,F,90.2,NA,3.33,226,190,14539,1234,838,384,3598,29,5,2,0,9,0,20,0,6,25,7,21,15,0,2,22,2,19,11,0,0,0,1,1,1,0,1,6,0,5,3,0,0,12,1,7,6,0,1,4,0,6,1,0,4,3,5,2,4,0,0,2,0,1,0,0,5,10,7,15,12,0,1,9,2,14,8,0,0,0,1,0,0,0,0,1,0,5,3,0,0,5,1,5,4,0,1,3,0,4,1,0,4,1,5,1,4,0,1,8,0,6,0,0,1,8,0,5,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,3,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,5,17,7,15,15,0,1,14,2,14,11,0,0,0,1,0,1,0,0,2,0,5,3,0,0,9,1,5,6,0,1,3,0,4,1,0,4,3,5,1,4,0,0,7,0,0,3,0,0,5,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
49,Jan-12,16043,1,F,F,F,F,F,98.3,NA,3.33,141,200,13402,1118,874,293,3168,26.99999999,6,2,0,5,4,28,1,12,25,19,23,17,1,7,25,10,20,11,0,0,1,2,1,2,0,4,4,3,3,4,0,1,16,5,5,5,1,2,4,0,11,0,0,5,0,9,3,6,0,2,0,1,0,1,1,8,12,13,16,12,1,5,12,5,13,7,0,0,1,1,1,0,0,3,2,3,2,3,0,0,7,1,3,4,1,2,2,0,7,0,0,3,0,8,3,5,0,1,7,1,5,2,0,1,7,1,5,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,6,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,11,18,18,18,15,1,6,18,9,15,10,0,0,1,1,1,1,0,3,3,3,3,4,0,1,10,5,3,5,1,2,4,0,8,0,0,5,0,9,3,5,0,3,6,5,2,3,0,1,6,4,2,3,0,0,0,0,0,1,0,0,1,0,1,1,0,1,3,4,0,1,0,0,2,0,1,0,0,2,0,1,0,0
50,Feb-12,18669,1,F,F,F,F,F,96.7,NA,3.33,163,230,15689,1321,849,588,3636,20.00000001,7,2,0,3,0,18,0,15,16,14,28,10,0,10,13,5,27,7,0,1,1,0,1,0,0,5,3,1,6,3,0,3,7,4,11,2,0,1,2,0,9,2,0,5,3,9,1,3,0,0,2,0,1,1,0,15,7,12,21,7,0,10,6,3,21,5,0,1,0,0,1,0,0,5,3,0,6,2,0,3,2,3,8,1,0,1,1,0,6,2,0,5,1,9,0,2,0,0,4,1,5,1,0,0,3,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,15,12,13,23,9,0,10,10,4,22,7,0,1,0,0,1,0,0,5,3,0,6,3,0,3,5,4,8,2,0,1,2,0,7,2,0,5,2,9,1,2,0,0,5,1,2,2,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
51,Mar-12,18926,1,F,F,F,F,F,95.6,NA,3.33,219,265,15099,1563,1097,550,2765,27.99999999,8,5,0,8,0,34,1,13,18,29,31,14,0,9,15,12,27,10,0,4,3,2,1,0,0,3,4,2,8,5,0,1,4,6,13,4,0,1,4,2,5,1,1,4,3,17,4,4,0,1,0,2,0,0,1,10,12,22,24,8,0,7,9,7,20,4,0,4,1,1,1,0,0,2,3,2,5,2,0,0,1,3,9,2,0,1,4,1,5,0,1,3,3,15,4,4,0,1,3,2,3,2,0,1,3,2,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,12,15,27,28,12,0,8,12,10,24,8,0,4,2,2,1,0,0,2,3,2,7,5,0,1,3,5,11,2,0,1,4,1,5,1,1,4,3,17,4,4,0,2,3,5,4,4,0,1,3,3,4,4,0,0,1,1,0,0,0,0,0,0,2,3,0,1,2,2,2,0,0,0,0,0,0,1,0,1,0,2,0,0
52,Apr-12,17811,1,F,F,F,F,F,91.6,NA,3.33,213,300,15537,1471,940,466,3036,18,11,2,0,2,3,40,1,17,20,27,21,17,1,15,19,15,19,9,0,3,3,6,0,1,0,5,3,5,9,2,0,3,9,2,6,1,1,4,4,2,4,5,0,2,1,12,2,8,0,0,0,1,0,2,1,13,11,24,17,13,1,11,10,13,15,7,0,3,1,6,0,1,0,4,2,5,7,1,0,1,4,0,5,1,1,3,3,2,3,4,0,2,1,11,2,6,0,2,4,1,2,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,15,16,26,19,15,1,13,15,15,17,9,0,3,3,6,0,1,0,5,3,5,8,2,0,2,6,2,6,1,1,3,3,2,3,5,0,2,1,11,2,6,0,2,5,2,2,2,0,2,5,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,May-12,19562,1,F,F,F,F,F,90.8,NA,3.33,226.5,203,15700,1300,1212,580,3090,34.00000001,10,6,0,4,2,31,0,9,29,32,18,14,0,8,25,15,15,9,0,0,3,3,3,2,0,5,3,3,4,3,0,2,15,5,5,2,0,1,4,4,3,2,0,1,4,17,3,5,0,1,0,3,1,0,0,6,17,24,12,14,0,6,13,10,10,9,0,0,2,2,2,2,0,5,3,2,4,3,0,0,7,2,3,2,0,1,1,4,1,2,0,0,4,14,2,5,0,1,8,2,4,0,0,0,8,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,8,21,30,14,14,0,8,17,13,11,9,0,0,2,3,2,2,0,5,3,3,4,3,0,2,10,3,4,2,0,1,2,4,1,2,0,0,4,17,3,5,0,2,4,6,2,0,0,2,4,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0
54,Jun-12,15413,1,F,F,F,F,F,86.5,NA,3.33,153.5,300,13639,1286,1078,494,2916,40,2,2,0,3,0,17,0,12,24,14,17,12,0,8,21,6,15,8,0,3,3,0,1,0,0,2,5,1,2,5,0,2,7,5,8,2,0,1,6,0,4,1,0,4,3,8,2,4,0,1,3,1,1,0,0,7,8,9,10,9,0,4,8,2,9,5,0,2,1,0,1,0,0,1,3,1,2,4,0,0,1,1,4,1,0,1,3,0,2,0,0,3,0,7,1,4,0,3,7,2,5,0,0,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,0,0,0,1,0,2,0,0,1,1,0,1,0,0,9,17,12,12,12,0,6,15,4,11,8,0,3,3,0,1,0,0,2,5,1,2,5,0,0,2,3,6,2,0,1,5,0,2,1,0,3,2,8,1,4,0,2,9,3,2,3,0,2,7,2,2,3,0,1,2,0,0,0,0,1,2,0,0,1,0,0,1,2,2,1,0,0,2,0,0,1,0,0,2,1,0,0
55,Jul-12,14254,1,F,F,F,F,F,93.9,NA,3.33,200.5,203,11333,1093,1007,501,2676,30.99999999,11,5,0,4,3,36,3,14,27,20,18,15,2,10,22,10,17,8,1,2,3,1,2,1,0,6,3,1,5,0,0,1,7,8,4,2,1,1,9,0,6,5,1,4,5,10,1,7,1,2,3,3,0,2,2,12,15,15,14,13,2,10,13,8,13,8,1,2,1,1,2,1,0,6,3,1,4,0,0,1,2,6,2,2,1,1,7,0,5,5,0,2,2,7,1,5,1,2,9,2,3,1,0,0,7,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,2,0,0,0,1,2,2,1,0,1,2,12,18,18,15,14,2,10,15,9,14,8,1,2,2,1,2,1,0,6,3,1,4,0,0,1,3,7,2,2,1,1,7,0,6,5,0,2,3,9,1,6,0,0,3,3,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1
56,Aug-12,13589,1,F,F,F,F,F,85.1,NA,3.33,145.5,200,13577,1206,1102,392,2370,17,5,2,0,1,2,25,0,7,30,20,29,12,0,5,29,8,27,4,0,0,5,1,1,1,0,2,6,0,10,1,0,2,12,6,8,2,0,1,6,1,8,0,0,2,1,12,2,8,0,2,1,4,2,2,0,4,18,12,15,9,0,4,18,4,15,3,0,0,2,0,0,1,0,1,4,0,7,1,0,2,6,3,5,1,0,1,6,1,3,0,0,0,0,8,0,6,0,0,7,4,9,2,0,0,7,2,8,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,3,2,1,0,0,0,0,0,4,0,0,0,0,2,1,2,0,7,23,16,20,10,0,5,22,6,19,4,0,0,3,1,1,1,0,2,4,0,7,1,0,2,9,4,7,2,0,1,6,1,4,0,0,2,1,10,1,6,0,3,5,4,5,1,0,1,4,2,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0,0,0,1,0,0,2,1,2,1,0
